LOG_INF_B,temperature,dew_point_temperature,relative_humidity,wind_speed,sea_level_pressure,wet_bulb_temperature,precipitation,precipitation_24_hour
1.099,0.676875,0.595,95.125,2.99375,1021.2,0.735,0.0,0.0
1.386,0.585,0.0514705882352941,70.97058823529412,3.85,1019.4,0.3752,18.3,18.3
1.609,0.0169696969696969,-0.901818181818182,52.303030303030305,6.984848484848484,1020.0030303030304,-0.2692592592592592,0.0,23.4
0.693,-0.6366666666666667,-1.372,59.0,5.046666666666667,1014.2,-0.8551851851851852,0.0,4.6
1.386,-0.2723076923076923,-0.8907692307692309,66.74358974358974,6.394871794871795,1012.4641025641024,-0.5175,12.9,44.5
1.792,-0.1226666666666666,-0.8383333333333333,60.96666666666667,5.29,1014.4366666666666,-0.357037037037037,0.0,3.8
2.197,0.1648387096774193,-0.3961290322580645,68.74193548387096,3.0,1018.4774193548388,-0.0792857142857142,1.9,7.1
1.792,0.1360526315789473,-0.5039473684210526,66.28947368421052,4.734210526315789,1022.0184210526317,-0.0719230769230769,4.8999999999999995,26.9
1.792,0.7926923076923077,0.3780769230769231,78.03846153846153,3.446153846153846,1026.873076923077,0.5850000000000001,0.0,2.8
1.792,0.7190625,-0.2959375,52.28125,5.784375,1012.7125,0.2855555555555555,0.3,0.3
1.099,0.8963333333333333,0.2643333333333333,68.93333333333334,4.863333333333333,1016.4866666666666,0.6692307692307692,11.7,29.4
1.099,0.5480645161290322,-0.0677419354838709,67.54838709677419,4.416129032258064,1026.2,0.3522222222222222,7.6,3.3
1.386,1.020333333333333,0.392,69.76666666666667,4.2,1019.6466666666668,0.7335714285714285,0.0,1.5
1.792,1.1474193548387095,0.4635483870967741,66.03225806451613,5.103225806451613,1009.383870967742,0.8175,10.2,22.6
1.609,1.079142857142857,0.3408571428571428,64.48571428571428,6.182857142857143,1005.4382352941176,0.7939285714285714,9.9,18.3
1.099,0.9876666666666666,0.3053333333333333,66.63333333333334,3.23,1023.7333333333332,0.6811111111111111,3.0,15.7
1.386,0.9645714285714284,0.5122857142857142,76.62857142857143,5.98,1010.2882352941176,0.74,20.2,15.0
0.693,1.1515151515151516,0.1293939393939394,54.81818181818182,4.433333333333334,1014.9666666666668,0.6939285714285715,0.0,0.0
0.0,2.059310344827586,1.0955172413793104,57.793103448275865,4.203448275862069,1017.2758620689656,1.5339285714285715,0.3,2.1
0.0,1.8993548387096777,1.0861290322580646,63.516129032258064,4.306451612903226,1009.6290322580644,1.4539285714285717,16.599999999999998,39.4
0.0,1.4542857142857142,0.982,77.02857142857142,3.625714285714286,1018.0342857142856,1.190357142857143,29.5,71.1
0.693,1.6645454545454546,1.0336363636363637,69.45454545454545,3.836363636363636,1008.0666666666666,1.3246428571428572,15.7,31.3
0.693,1.9229032258064516,1.4493548387096775,76.45161290322581,3.890322580645161,1013.132258064516,1.6364285714285711,1.1,0.8
0.0,1.3234482758620691,0.9493103448275862,79.89655172413794,3.6206896551724137,1020.748275862069,1.1292857142857142,3.5999999999999996,10.1
1.099,1.5539999999999998,1.0719999999999998,74.46666666666667,4.26,1015.3366666666666,1.2880769230769231,0.6,5.6
1.099,1.4700000000000002,0.7664285714285715,65.39285714285714,3.9678571428571425,1019.225,1.1017857142857144,0.3,0.0
1.386,1.334375,0.8771875,77.71875,4.040625,1023.528125,1.085,3.0,8.1
1.386,1.1929032258064516,0.6683870967741935,73.3225806451613,3.745161290322581,1022.0419354838708,0.9639285714285714,0.0,0.0
2.565,1.0796428571428571,0.2253571428571428,57.642857142857146,5.082142857142857,1016.2857142857144,0.6860714285714286,0.0,0.0
3.178,1.0973529411764706,0.6970588235294117,77.41176470588235,4.31764705882353,1013.3484848484848,0.8740740740740741,5.8999999999999995,30.8
3.611,0.59,-0.0137931034482758,67.51724137931035,4.406896551724138,1013.4379310344827,0.3207142857142857,2.0,6.9
3.738,0.2848484848484848,-0.3827272727272727,64.33333333333333,5.087878787878788,1018.5454545454544,-0.0114285714285714,8.6,27.700000000000003
3.989,0.2270833333333333,-0.6408333333333334,54.666666666666664,4.608333333333333,1023.8291666666668,-0.0769999999999999,0.0,0.0
4.644,0.0328571428571428,-0.7435714285714285,59.535714285714285,3.789285714285714,1020.5857142857144,-0.2266666666666666,0.3,0.5
5.056,-0.2535483870967742,-1.019032258064516,57.25806451612903,5.016129032258065,1020.9451612903224,-0.4821428571428571,0.0,1.6
5.529,-0.439,-1.137,60.333333333333336,6.16,1014.7275862068964,-0.6439285714285715,9.8,25.700000000000003
5.886,-0.2224137931034482,-0.7758620689655172,67.24137931034483,3.820689655172414,1014.0586206896552,-0.3928571428571428,0.0,2.5
6.17,0.0535483870967741,-0.4861290322580645,68.74193548387096,4.225806451612903,1017.9290322580644,-0.1603703703703703,3.6,12.0
6.232,0.099090909090909,-0.2293939393939394,80.54545454545455,4.918181818181819,1017.9848484848484,-0.0167857142857142,8.9,34.3
6.304,-0.0206896551724137,-0.7562068965517241,59.241379310344826,3.913793103448276,1020.4241379310344,-0.2539285714285714,0.0,0.3
6.078,0.2878787878787879,-0.3196969696969697,67.24242424242425,4.621212121212121,1014.9625,0.0477777777777777,10.1,16.900000000000002
6.026,0.2592857142857143,-0.5282142857142856,59.25,5.110714285714286,1022.7464285714286,0.0014285714285714,1.5,18.3
5.861,0.2372413793103448,-0.4972413793103448,61.86206896551724,4.80344827586207,1020.8793103448276,-0.0346428571428571,1.3,7.9
5.204,0.2058620689655172,-0.5679310344827586,59.51724137931034,4.8,1023.248275862069,-0.0371428571428571,2.8,18.8
